SKU;Produto;Quantidade Vendida;Primeiro Nome;Sobrenome;idade;Data;Loja;Preco Unitario;;;; 
HL4379; Televisão ;3;Renan;Nascimento;81;9/14/2018;Recife;R$ 2.500,00;;;;
HL1148; Câmera ;2;Camila;Sobral;90;10/21/2018;Fortaleza;R$ 2.100,00;;;;
HL1918; iPhone ;3;Clara;Bruno;34;07/08/2018;Fortaleza;R$ 5.300,00;;;;
HL9962; Android ;4;Eduardo;Pacheco;64;12/19/2018;Fortaleza;R$ 3.400,00;;;;
HL1918; iPhone ;4;Sarah;Souza;54;2/14/2018;São Paulo;R$ 5.300,00;;;;
HL7348; SmartWatch ;3;Alexandre;Rodriguez;45;5/20/2018;São Paulo;R$ 1.400,00;;;;
HL2714; Tablet ;2;Thays;Castro;82;03/07/2018;Curitiba;R$ 1.600,00;;;;
HL4379; Televisão ;4;Jessica;Cordovil;51;02/11/2018;Rio de Janeiro;R$ 2.500,00;;;;
HL1148; Câmera ;3;Camille;Silva;43;3/26/2018;São Paulo;R$ 2.100,00;;;;
HL1918; iPhone ;3;Alon;Palmeira;61;11/06/2018;São Paulo;R$ 5.300,00;;;;
HL1918; iPhone ;2;Rafael;Rocha;69;12/22/2018;Fortaleza;R$ 5.300,00;;;;
HL1918; iPhone ;2;Camilla;Guimarães;25;10/04/2018;Rio de Janeiro;R$ 5.300,00;;;;
HL4379; Televisão ;1;Daniel;Monteiro;56;5/23/2018;Goiânia;R$ 2.500,00;;;;
HL4379; Televisão ;4;Ylana;Teraoka;85;6/23/2018;Porto Alegre;R$ 2.500,00;;;;
HL2714; Tablet ;2;Caio;Ferreira;29;7/26/2018;Fortaleza;R$ 1.600,00;;;;
HL8851; Notebook ;3;Mariana;Freire;54;11/04/2018;Fortaleza;R$ 3.500,00;;;;
HL4379; Televisão ;2;Carolina;Alfradique;50;2/25/2018;Belo Horizonte;R$ 2.500,00;;;;
HL8851; Notebook ;4;Leandro;Rodrigues;80;08/06/2018;São Paulo;R$ 3.500,00;;;;
HL9962; Android ;4;Elaine;Santos;67;07/05/2018;Goiânia;R$ 3.400,00;;;;
HL7348; SmartWatch ;2;Henrique;Silva;60;08/05/2018;São Paulo;R$ 1.400,00;;;;
HL4379; Televisão ;5;Katharina;Barros;56;3/26/2018;Rio de Janeiro;R$ 2.500,00;;;;
HL1918; iPhone ;3;Lucas;Rodrigues;64;10/08/2018;Curitiba;R$ 5.300,00;;;;
HL8851; Notebook ;5;Fillipe;Almeida;33;12/06/2018;São Paulo;R$ 3.500,00;;;;
HL2714; Tablet ;5;Carla;Zakhm;74;11/13/2018;Recife;R$ 1.600,00;;;;
HL4379; Televisão ;1;Danilo;Rubim;70;2/20/2018;Belo Horizonte;R$ 2.500,00;;;;
HL1918; iPhone ;4;Bianca;Tatsch;32;10/10/2018;Recife;R$ 5.300,00;;;;
HL1918; iPhone ;5;Bernard;Pedrosa;24;07/07/2018;Belo Horizonte;R$ 5.300,00;;;;
HL1918; iPhone ;3;Gabriel;Silva;55;8/21/2018;Curitiba;R$ 5.300,00;;;;
HL2714; Tablet ;1;Pedro;Oliveira;18;12/17/2018;Fortaleza;R$ 1.600,00;;;;
HL1148; Câmera ;4;Gabriel;Puntel;66;9/27/2018;São Paulo;R$ 2.100,00;;;;
HL1918; iPhone ;5;Clarissa;Santos;88;12/23/2018;São Paulo;R$ 5.300,00;;;;
HL1918; iPhone ;2;Danilo;Rubim;46;11/20/2018;São Paulo;R$ 5.300,00;;;;
HL7348; SmartWatch ;1;Nathan;Morelli;57;01/02/2018;São Paulo;R$ 1.400,00;;;;
HL1148; Câmera ;1;Rubens;Netto;66;07/11/2018;Porto Alegre;R$ 2.100,00;;;;
HL1918; iPhone ;3;Guido;Monteiro;67;4/18/2018;Recife;R$ 5.300,00;;;;
HL7348; SmartWatch ;4;Beatriz;Li;75;12/13/2018;São Paulo;R$ 1.400,00;;;;
HL2714; Tablet ;1;Sarah;Souza;38;01/03/2018;São Paulo;R$ 1.600,00;;;;
HL8851; Notebook ;5;João;Aires;25;12/24/2018;São Paulo;R$ 3.500,00;;;;
HL9962; Android ;1;Rodrigo;Silva;30;1/14/2018;Rio de Janeiro;R$ 3.400,00;;;;
HL1148; Câmera ;-2;Gabriel;Almeida;67;11/16/2018;Salvador;R$ 2.100,00;;;;
HL4379; Televisão ;3;Júlio;Freire;74;6/30/2018;Rio de Janeiro;R$ 2.500,00;;;;
HL2714; Tablet ;5;Rodrigo;Alves;61;2/27/2018;Salvador;R$ 1.600,00;;;;
HL1148; Câmera ;5;Paloma;Sperandei;45;9/15/2018;Porto Alegre;R$ 2.100,00;;;;
HL4379; Televisão ;1;Eduardo;Quindeler;84;7/20/2018;Recife;R$ 2.500,00;;;;
HL1918; iPhone ;5;Lenon;Fernandes;61;3/31/2018;Goiânia;R$ 5.300,00;;;;
HL8851; Notebook ;2;Larissa;Cruz;85;9/15/2018;Recife;R$ 3.500,00;;;;
HL4379; Televisão ;2;Guilherme;Merotto;64;11/17/2018;São Paulo;R$ 2.500,00;;;;
HL1918; iPhone ;4;Myllena;Carneiro;32;01/07/2018;São Paulo;R$ 5.300,00;;;;
HL8851; Notebook ;5;Breno;Farias;80;6/24/2018;Porto Alegre;R$ 3.500,00;;;;
HL7348; SmartWatch ;1;Vivianne;Rodrigues;66;08/11/2018;Goiânia;R$ 1.400,00;;;;
HL1918; iPhone ;4;Ulisses;Arruda;65;05/05/2018;Salvador;R$ 5.300,00;;;;
HL4379; Televisão ;2;Lorena;Kohn;23;7/31/2018;Porto Alegre;R$ 2.500,00;;;;
HL1918; iPhone ;3;Raphael;Guedes;84;7/28/2018;Fortaleza;R$ 5.300,00;;;;
HL1918; iPhone ;5;Lucas;Lemos;26;12/26/2018;Belo Horizonte;R$ 5.300,00;;;;
HL1918; iPhone ;4;Juliana;Goes;36;3/20/2018;Porto Alegre;R$ 5.300,00;;;;
HL1148; Câmera ;3;Kim;Ferreira;49;3/19/2018;São Paulo;R$ 2.100,00;;;;
HL1918; iPhone ;5;Ana;Silva;67;5/25/2018;São Paulo;R$ 5.300,00;;;;
HL9962; Android ;1;Alexandre;Dantas;57;1/28/2018;Recife;R$ 3.400,00;;;;
HL4379; Televisão ;3;Pedro;Conceição;79;5/16/2018;Curitiba;R$ 2.500,00;;;;
HL1148; Câmera ;1;Marina;Mesquita;32;8/25/2018;Recife;R$ 2.100,00;;;;
HL2714; Tablet ;3;Sandy;Ribeiro;48;05/04/2018;Curitiba;R$ 1.600,00;;;;
HL1148; Câmera ;3;Adrielle;Vieira;36;11/25/2018;São Paulo;R$ 2.100,00;;;;
HL1148; Câmera ;5;Jackson;Derossi;45;11/30/2018;Rio de Janeiro;R$ 2.100,00;;;;
HL7348; SmartWatch ;4;Isabela;Teixeira;65;8/31/2018;Curitiba;R$ 1.400,00;;;;
HL1148; Câmera ;1;Willian;Albino;81;1/30/2018;Rio de Janeiro;R$ 2.100,00;;;;
HL1918; iPhone ;3;Carolina;Costa;23;3/28/2018;Curitiba;R$ 5.300,00;;;;
HL8851; Notebook ;5;Bernardo;Botelho;21;06/08/2018;Belo Horizonte;R$ 3.500,00;;;;
HL8851; Notebook ;3;Carlos;Melo;46;1/22/2018;Porto Alegre;R$ 3.500,00;;;;
HL4379; Televisão ;2;Carolina;Figueiredo;59;2/17/2018;São Paulo;R$ 2.500,00;;;;
HL9962; Android ;3;Raissa;Negrelli;88;03/10/2018;Salvador;R$ 3.400,00;;;;
HL9962; Android ;4;Raphael;Machado;62;12/14/2018;Porto Alegre;R$ 3.400,00;;;;
HL2714; Tablet ;4;Jéssica;Resinente;49;2/26/2018;Rio de Janeiro;R$ 1.600,00;;;;
HL1918; iPhone ;3;Stephanie;Gonçalves;24;9/24/2018;Rio de Janeiro;R$ 5.300,00;;;;
HL7348; SmartWatch ;2;Caroline;Aquino;26;04/12/2018;Porto Alegre;R$ 1.400,00;;;;
HL9962; Android ;3;Marcelo;Guadagnino;26;12/27/2018;São Paulo;R$ 3.400,00;;;;
HL8851; Notebook ;1;Guilherme;Vianna;35;4/24/2018;Rio de Janeiro;R$ 3.500,00;;;;
HL7348; SmartWatch ;5;Thiago;Lima;73;1/29/2018;Rio de Janeiro;R$ 1.400,00;;;;
HL4379; Televisão ;2;Lucas;Junior;61;08/03/2018;Recife;R$ 2.500,00;;;;
HL8851; Notebook ;2;Victor;Gomes;60;3/23/2018;Curitiba;R$ 3.500,00;;;;
HL2714; Tablet ;2;Deysiane;Medronho;69;10/12/2018;São Paulo;R$ 1.600,00;;;;
HL4379; Televisão ;4;Jackson;Derossi;51;06/03/2018;São Paulo;R$ 2.500,00;;;;
HL1918; iPhone ;3;Livia;Codeceira;28;01/08/2018;Rio de Janeiro;R$ 5.300,00;;;;
HL4379; Televisão ;3;João;Alves;65;05/07/2018;Curitiba;R$ 2.500,00;;;;
HL2714; Tablet ;5;Lucas;Costa;37;9/14/2018;Fortaleza;R$ 1.600,00;;;;
HL9962; Android ;5;Thales;Fanara;77;4/14/2018;Curitiba;R$ 3.400,00;;;;
HL1148; Câmera ;2;Victor;Lira;79;07/08/2018;São Paulo;R$ 2.100,00;;;;
HL1918; iPhone ;1;João;Abraçado;53;4/30/2018;São Paulo;R$ 5.300,00;;;;
HL1918; iPhone ;3;Victoria;Tavares;37;9/15/2018;Rio de Janeiro;R$ 5.300,00;;;;
HL4379; Televisão ;3;Jonatas;Essaber;24;02/03/2018;Curitiba;R$ 2.500,00;;;;
HL4379; Televisão ;4;Luíza;Goulart;85;7/25/2018;Recife;R$ 2.500,00;;;;
HL1148; Câmera ;4;Ulisses;Filho;72;9/30/2018;Porto Alegre;R$ 2.100,00;;;;
HL1148; Câmera ;4;Matheus;Gomes;50;1/18/2018;São Paulo;R$ 2.100,00;;;;
HL1918; iPhone ;1;João;Aires;18;10/02/2018;Rio de Janeiro;R$ 5.300,00;;;;
HL1918; iPhone ;2;Breno;Caputo;55;3/30/2018;Salvador;R$ 5.300,00;;;;
HL1918; iPhone ;3;Aline;Andrade;40;11/21/2018;Porto Alegre;R$ 5.300,00;;;;
HL1918; iPhone ;4;Lucas;Fontoura;30;05/04/2018;São Paulo;R$ 5.300,00;;;;
HL7348; SmartWatch ;2;Pedro;Rodrigues;67;7/26/2018;Goiânia;R$ 1.400,00;;;;
HL1148; Câmera ;3;Carla;Zakhm;20;06/07/2018;Recife;R$ 2.100,00;;;;
HL1148; Câmera ;4;Lucas;Aragão;60;3/24/2018;Rio de Janeiro;R$ 2.100,00;;;;
HL1918; iPhone ;1;Raul;Junqueira;31;1/17/2018;Fortaleza;R$ 5.300,00;;;;
HL1918; iPhone ;4;Victor;Soares;19;04/10/2018;Salvador;R$ 5.300,00;;;;
HL1148; Câmera ;3;Carolina;Rocha;44;02/07/2018;Rio de Janeiro;R$ 2.100,00;;;;
HL4379; Televisão ;1;Caio;Fernandes;38;7/25/2018;Rio de Janeiro;R$ 2.500,00;;;;
HL1918; iPhone ;4;Rubens;Netto;57;01/08/2018;Fortaleza;R$ 5.300,00;;;;
HL1918; iPhone ;2;Isabel;Leite;26;06/02/2018;Fortaleza;R$ 5.300,00;;;;
HL1148; Câmera ;2;Mariana;Barrozo;66;08/05/2018;São Paulo;R$ 2.100,00;;;;
HL4379; Televisão ;2;Raíza;Lopes;27;4/24/2018;Belo Horizonte;R$ 2.500,00;;;;
HL4379; Televisão ;4;Débora;Lopes;72;03/05/2018;Fortaleza;R$ 2.500,00;;;;
HL1918; iPhone ;3;Beatriz;Cavalcanti;36;10/30/2018;Curitiba;R$ 5.300,00;;;;
HL4379; Televisão ;2;Pedro;Rodrigues;69;4/16/2018;Salvador;R$ 2.500,00;;;;
HL4379; Televisão ;4;Maurício;Dias;52;09/10/2018;São Paulo;R$ 2.500,00;;;;
HL8851; Notebook ;4;Allan;Candido;77;04/05/2018;Recife;R$ 3.500,00;;;;
HL4379; Televisão ;5;Alexandre;Dantas;44;9/15/2018;Porto Alegre;R$ 2.500,00;;;;
HL1918; iPhone ;4;Bianca;Ferezin;61;06/02/2018;Curitiba;R$ 5.300,00;;;;
HL4379; Televisão ;2;Roberta;Pimenta;71;10/17/2018;Rio de Janeiro;R$ 2.500,00;;;;
HL2714; Tablet ;3;Caio;Cardoso;38;6/18/2018;Goiânia;R$ 1.600,00;;;;
HL8851; Notebook ;1;Paola;Abreu;24;08/02/2018;Belo Horizonte;R$ 3.500,00;;;;
HL8851; Notebook ;1;Gustavo;Gomes;31;07/06/2018;São Paulo;R$ 3.500,00;;;;
HL9962; Android ;3;Wilson;Meirelles;53;06/08/2018;Salvador;R$ 3.400,00;;;;
HL8851; Notebook ;3;Wilson;Vianna;64;10/27/2018;Porto Alegre;R$ 3.500,00;;;;
HL1918; iPhone ;1;Raphael;Guedes;26;07/12/2018;Rio de Janeiro;R$ 5.300,00;;;;
HL1148; Câmera ;2;Laura;Araujo;42;12/18/2018;Curitiba;R$ 2.100,00;;;;
HL2714; Tablet ;4;Lucas;Freire;76;1/13/2018;Goiânia;R$ 1.600,00;;;;
HL4379; Televisão ;1;David;Assumpção;61;04/07/2018;Rio de Janeiro;R$ 2.500,00;;;;
HL9962; Android ;5;Marina;Mesquita;87;2/16/2018;São Paulo;R$ 3.400,00;;;;
HL1148; Câmera ;3;Ana;Michetti;30;05/11/2018;São Paulo;R$ 2.100,00;;;;
HL7348; SmartWatch ;5;Bárbara;Lima;63;05/06/2018;Recife;R$ 1.400,00;;;;
HL9962; Android ;5;Diego;Marchesi;54;11/27/2018;Salvador;R$ 3.400,00;;;;
HL4379; Televisão ;5;Bruno;Ursulino;28;08/02/2018;Salvador;R$ 2.500,00;;;;
HL9962; Android ;5;Caio;Fernandes;72;7/25/2018;Goiânia;R$ 3.400,00;;;;
